epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
28,1.507024,0.477265,1.387595,0.521124,9.76e-04,125.8
29,1.497644,0.485823,1.384912,0.534412,9.05e-04,124.4
30,1.484225,0.485428,1.353438,0.548382,7.94e-04,124.3
31,1.473133,0.491836,1.345180,0.546508,6.55e-04,124.4
32,1.451957,0.506101,1.333473,0.554855,5.01e-04,125.0
33,1.437679,0.518127,1.329335,0.562862,3.46e-04,124.9
34,1.428391,0.519312,1.319829,0.568825,2.07e-04,124.8
35,1.417809,0.524842,1.306803,0.572913,9.64e-05,124.8
36,1.403699,0.529670,1.311400,0.571721,2.54e-05,124.9
37,1.402332,0.538448,1.307791,0.571721,1.00e-03,125.0
38,1.439395,0.517117,1.370397,0.553663,9.76e-04,124.7
39,1.440087,0.515493,1.311033,0.561670,9.05e-04,124.1
40,1.421771,0.526334,1.332765,0.567121,7.94e-04,124.9
41,1.408580,0.534015,1.319670,0.570358,6.55e-04,125.1
42,1.388510,0.543364,1.298181,0.578876,5.01e-04,124.3
43,1.384841,0.548236,1.284070,0.590460,3.46e-04,125.4
44,1.367467,0.557409,1.265373,0.602555,2.07e-04,124.6
45,1.358927,0.556531,1.263283,0.606133,9.64e-05,125.3
46,1.351454,0.568206,1.258799,0.603578,2.54e-05,125.2
47,1.348154,0.571893,1.261773,0.602385,1.00e-03,123.8
48,1.388166,0.552625,1.304846,0.584327,9.76e-04,125.1
49,1.400359,0.543013,1.282498,0.592504,9.05e-04,124.9
50,1.373173,0.562237,1.272484,0.598296,7.94e-04,125.1
51,1.354712,0.567328,1.254056,0.606474,6.55e-04,124.8
52,1.347976,0.573736,1.258394,0.610562,5.01e-04,124.6
53,1.332687,0.582953,1.239225,0.614651,3.46e-04,125.8
54,1.327760,0.581636,1.227629,0.620954,2.07e-04,125.3
55,1.310148,0.596252,1.221100,0.624361,9.64e-05,125.0
56,1.302966,0.598402,1.218459,0.627939,2.54e-05,124.9
57,1.295972,0.598183,1.220195,0.625724,1.00e-03,125.5
58,1.338227,0.583743,1.243701,0.611755,9.76e-04,125.0
59,1.334056,0.584314,1.240343,0.620784,9.05e-04,124.8
60,1.329829,0.588132,1.227224,0.622317,7.94e-04,124.7
